Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
853,6116,3/20/09,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,3/22/09
863,6182,7/21/12,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,7/28/12
864,6182,7/21/12,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,7/25/12
911,6535,6/12/12,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,6/15/12
950,6884,1/15/09,Low,41,217,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,1/20/09
951,6884,1/15/09,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,1/20/09
956,6916,6/4/10,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,6/8/10
963,6980,2/18/10,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2/19/10
964,6982,11/16/11,Not Specified,32,1311.25,0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,11/18/11
965,6982,11/16/11,Not Specified,5,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,11/18/11
966,6982,11/16/11,Not Specified,41,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,11/18/11
988,7110,8/7/11,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,8/11/11
1017,7430,6/8/10,Medium,50,751.77,0.05,Regular Air,353.20,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,6/9/10
1073,7906,10/17/09,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,10/17/09
1154,8391,8/28/11,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,8/29/11
1156,8419,9/29/11,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,10/1/11
1157,8419,9/29/11,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,9/30/11
1205,8833,5/4/12,Low,40,3338.98,0,Regular Air,-846.73,80.98,35,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,5/8/12
1226,8995,5/17/11,High,5,24.16,0.08,Express Air,8.05,1.88,1.49,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,5/18/11
1227,8995,5/17/11,High,41,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.36,5/18/11
1228,8995,5/17/11,High,35,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,5/18/11
1229,8995,5/17/11,High,42,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,5/18/11
1230,8995,5/17/11,High,46,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,5/19/11
1258,9126,11/17/09,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,11/18/09
1259,9127,10/10/11,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,10/12/11
1299,9509,10/7/12,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,10/8/12
1300,9509,10/7/12,Not Specified,5,101.21,0.1,Express Air,2.13,18.97,5.21,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.37,10/8/12
1301,9509,10/7/12,Not Specified,32,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.38,10/7/12
1337,9763,8/13/11,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,8/16/11
1370,9927,8/16/11,High,32,4655.07,0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,8/17/11
1371,9927,8/16/11,High,44,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,8/17/11
1372,9927,8/16/11,High,34,1608.08,0.09,Express Air,-82.16,50.98,6.5,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,8/17/11
1380,10022,3/4/09,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,3/4/09
1445,10437,8/18/09,Critical,50,820.52,0.01,Regular Air,-191.22,15.99,13.18,Don Jones,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,8/20/09
1457,10499,11/16/10,Not Specified,29,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,11/17/10
1462,10535,5/27/11,Low,25,854.88,0.09,Regular Air,-44.14,33.98,19.99,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame",Small Box,0.55,5/29/11
1463,10535,5/27/11,Low,46,80.27,0.09,Regular Air,-0.79,1.76,0.7,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,6/3/11
1495,10789,8/23/10,Not Specified,15,308.54,0,Express Air,76.42,19.84,4.1,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,8/24/10
1496,10791,8/19/11,Not Specified,20,400.57,0.05,Regular Air,93.36,19.98,5.77,Anthony Johnson,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,8/21/11
1513,10945,1/3/12,Medium,14,1170.025,0.04,Regular Air,4.22,95.99,8.99,Ralph Knight,Northwest Territories,Northwest Territories,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,1/5/12
1544,11137,11/29/12,High,48,5188.86,0.1,Regular Air,395.12,111.03,8.64,Allen Rosenblatt,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.78,11/30/12
1551,11202,3/17/12,Medium,8,339.81,0.05,Regular Air,79.59,43.41,2.99,Barry Weirich,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,0.39,3/18/12
1589,11456,4/12/10,Low,15,1519.9,0.09,Regular Air,399.37,105.34,24.49,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,4/19/10
1590,11460,8/24/10,High,30,102.24,0.09,Regular Air,37.79,3.69,0.5,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Labels,Avery 487,Small Box,0.38,8/26/10
1594,11495,7/4/11,High,6,965.69,0,Delivery Truck,-144.20,146.34,43.75,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,0.65,7/5/11
1654,11911,11/10/10,Critical,25,397.84,0,Regular Air,-14.75,15.22,9.73,Edward Hooks,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Small Box,0.36,11/12/10
1655,11941,6/24/10,Critical,4,73.07,0.08,Regular Air,-41.01,15.7,11.25,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,6/25/10
1656,11941,6/24/10,Critical,26,4679.1,0.05,Delivery Truck,111.52,179.29,29.21,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,0.74,6/25/10
1675,12096,9/19/12,Medium,46,8009.5925,0.02,Regular Air,2332.40,200.99,8.08,Michelle Lonsdale,Northwest Territories,Northwest Territories,Home Office,Technology,Telephones and Communication,5125,Small Box,0.59,9/19/12
1676,12096,9/19/12,Medium,23,4689.66,0.01,Regular Air,2176.19,194.3,11.54,Michelle Lonsdale,Northwest Territories,Northwest Territories,Home Office,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,Large Box,0.59,9/21/12
1710,12289,12/24/11,Low,25,3019.41,0.04,Regular Air,1269.05,120.97,7.11,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate,Technology,Office Machines,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Medium Box,0.36,12/28/11
1718,12352,3/23/12,Medium,5,36.86,0.07,Regular Air,-32.82,5.81,8.49,Hunter Glantz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Small Box,0.39,3/24/12
1727,12419,10/15/11,Critical,12,22079.47,0.06,Regular Air,5322.14,1938.02,13.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Technology,Office Machines,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Medium Box,0.38,10/17/11
1745,12485,8/7/10,Critical,24,5407.31,0.04,Delivery Truck,1068.48,226.67,28.16,Eugene Barchas,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon GuestStacker Chair,Jumbo Drum,0.59,8/8/10
